Post_ID,Date,Time,User,Content,Hashtags,Category,Likes,Comments,Shares,Expected_Sentiment
POST_038,2026-08-03,23:20:00,CodeWithRiya,This update was disappointing and the results need improvement. Exploring ai trends and insights.,#AI #ArtificialIntelligence #GenerativeAI,AI,2885,86,109,Negative
POST_129,2026-08-04,10:50:00,DevVibes,This is a fantastic achievement. Really happy with the progress! Exploring education trends and insights.,#CareerGrowth #Learning,Education,2180,206,3,Positive
POST_130,2026-08-04,11:30:00,CodeWithRiya,Absolutely loved this update! The results are amazing and exciting. Exploring business trends and insights.,#Entrepreneurship #Marketing,Business,131,137,63,Positive
POST_192,2026-08-04,14:10:00,AIInsights,So excited to share this wonderful milestone with everyone! Exploring education trends and insights.,#CareerGrowth #Python #Education #Learning,Education,822,289,119,Positive
POST_091,2026-08-04,16:30:00,TechNeha,Not happy with the current results. More work is required. Exploring entertainment trends and insights.,#Movies #Music #Entertainment #Trending,Entertainment,2241,161,426,Negative
POST_094,2026-08-04,17:50:00,DataNinja,This is a fantastic achievement. Really happy with the progress! Exploring technology trends and insights.,#Innovation #Technology,Technology,2470,219,322,Positive
POST_001,2026-08-04,23:50:00,TechNeha,This is a fantastic achievement. Really happy with the progress! Exploring ai trends and insights.,#ArtificialIntelligence #AI #MachineLearning,AI,3322,175,385,Positive
POST_247,2026-08-05,09:30:00,PythonDev,Not happy with the current results. More work is required. Exploring business trends and insights.,#Entrepreneurship #Marketing,Business,176,221,134,Negative
POST_169,2026-08-05,10:30:00,MLExplorer,So excited to share this wonderful milestone with everyone! Exploring business trends and insights.,#Business #Startups #Marketing #Entrepreneurship,Business,2324,301,138,Positive
POST_112,2026-08-05,11:30:00,DataWithAarav,Absolutely loved this update! The results are amazing and exciting. Exploring business trends and insights.,#Entrepreneurship #Marketing #Startups,Business,1039,346,210,Positive
POST_226,2026-08-05,12:20:00,DataWithAarav,Great insights and an excellent learning experience today. Exploring data science trends and insights.,#Analytics #DataScience #Python,Data Science,1745,36,187,Positive
POST_171,2026-08-05,15:10:00,DataWithAarav,This is a fantastic achievement. Really happy with the progress! Exploring ai trends and insights.,#GenerativeAI #ArtificialIntelligence #MachineLearning #AI,AI,1075,151,378,Positive
POST_114,2026-08-05,19:10:00,AIInsights,Great insights and an excellent learning experience today. Exploring technology trends and insights.,#Innovation #Technology,Technology,1964,49,30,Positive
POST_240,2026-08-05,21:00:00,PythonDev,This is a fantastic achievement. Really happy with the progress! Exploring technology trends and insights.,#Coding #TechNews #Technology,Technology,2305,284,59,Positive
POST_119,2026-08-06,08:50:00,CodeWithRiya,Testing a new approach and documenting the results. Exploring data science trends and insights.,#BigData #Analytics #DataScience #Python,Data Science,1272,252,334,Neutral
POST_024,2026-08-06,11:30:00,MLExplorer,Here are some useful insights from the data analysis. Exploring education trends and insights.,#CareerGrowth #Education #Python,Education,869,307,170,Neutral
POST_236,2026-08-06,12:30:00,TrendTracker,So excited to share this wonderful milestone with everyone! Exploring education trends and insights.,#Learning #Education #Python,Education,996,298,6,Positive
POST_243,2026-08-06,13:20:00,AIInsights,This is a fantastic achievement. Really happy with the progress! Exploring ai trends and insights.,#MachineLearning #GenerativeAI #ArtificialIntelligence #AI,AI,3142,176,320,Positive
POST_047,2026-08-06,13:50:00,AIInsights,Facing some frustrating issues with the latest release. Exploring lifestyle trends and insights.,#Motivation #Lifestyle #Productivity,Lifestyle,310,275,497,Negative
POST_066,2026-08-07,10:00:00,TechNeha,This is a fantastic achievement. Really happy with the progress! Exploring ai trends and insights.,#MachineLearning #AI,AI,2266,154,497,Positive
POST_193,2026-08-07,10:10:00,DataNinja,Absolutely loved this update! The results are amazing and exciting. Exploring technology trends and insights.,#Innovation #TechNews #Technology #Coding,Technology,1856,8,36,Positive
POST_168,2026-08-07,12:30:00,TechNeha,Absolutely loved this update! The results are amazing and exciting. Exploring technology trends and insights.,#Innovation #Coding #Technology,Technology,1469,325,172,Positive
POST_044,2026-08-07,13:40:00,ShreyaAI,A new feature has been released for users to explore. Exploring ai trends and insights.,#AI #ArtificialIntelligence #GenerativeAI #MachineLearning,AI,799,281,551,Neutral
POST_057,2026-08-07,14:30:00,DevVibes,Testing a new approach and documenting the results. Exploring entertainment trends and insights.,#Trending #Music,Entertainment,1351,68,467,Neutral
POST_177,2026-08-07,14:30:00,DataNinja,Great insights and an excellent learning experience today. Exploring education trends and insights.,#CareerGrowth #Python #Learning #Education,Education,1723,141,32,Positive
POST_049,2026-08-07,15:30:00,AnalyticsGuru,Testing a new approach and documenting the results. Exploring technology trends and insights.,#Technology #TechNews,Technology,1073,225,81,Neutral
POST_164,2026-08-07,17:00:00,DataNinja,This is a fantastic achievement. Really happy with the progress! Exploring entertainment trends and insights.,#Movies #Music #Trending #Entertainment,Entertainment,1337,171,368,Positive
POST_039,2026-08-07,18:30:00,DataWithAarav,This is a fantastic achievement. Really happy with the progress! Exploring business trends and insights.,#Marketing #Business,Business,1779,21,392,Positive
POST_199,2026-08-07,18:30:00,AIInsights,A new feature has been released for users to explore. Exploring data science trends and insights.,#DataScience #Analytics,Data Science,691,64,275,Neutral
POST_232,2026-08-07,19:20:00,AIInsights,Testing a new approach and documenting the results. Exploring data science trends and insights.,#Analytics #DataScience #BigData #Python,Data Science,1827,116,143,Neutral
POST_104,2026-08-07,20:30:00,PythonDev,So excited to share this wonderful milestone with everyone! Exploring data science trends and insights.,#Python #BigData #DataScience #Analytics,Data Science,309,311,141,Positive
POST_187,2026-08-07,20:40:00,AIInsights,Sharing today's update and the latest observations from the project. Exploring technology trends and insights.,#Technology #Coding #Innovation #TechNews,Technology,1415,271,286,Neutral
POST_224,2026-08-07,21:00:00,CodeWithRiya,Sharing today's update and the latest observations from the project. Exploring education trends and insights.,#Learning #Python #CareerGrowth #Education,Education,298,347,318,Neutral
POST_184,2026-08-07,22:30:00,AnalyticsGuru,A new feature has been released for users to explore. Exploring technology trends and insights.,#Technology #TechNews,Technology,1191,297,453,Neutral
POST_158,2026-08-07,23:20:00,CodeWithRiya,Here are some useful insights from the data analysis. Exploring ai trends and insights.,#MachineLearning #AI,AI,3311,169,475,Neutral
POST_067,2026-08-08,11:00:00,AnalyticsGuru,Facing some frustrating issues with the latest release. Exploring lifestyle trends and insights.,#DailyLife #Motivation #Lifestyle,Lifestyle,376,175,432,Negative
POST_065,2026-08-08,14:20:00,CodeWithRiya,Absolutely loved this update! The results are amazing and exciting. Exploring business trends and insights.,#Entrepreneurship #Business #Marketing #Startups,Business,917,161,46,Positive
POST_233,2026-08-08,17:20:00,TrendTracker,This update was disappointing and the results need improvement. Exploring data science trends and insights.,#Python #BigData,Data Science,913,99,102,Negative
POST_025,2026-08-08,21:40:00,DataNinja,Testing a new approach and documenting the results. Exploring data science trends and insights.,#DataScience #Analytics,Data Science,1831,205,435,Neutral
POST_227,2026-08-08,21:50:00,MLExplorer,Absolutely loved this update! The results are amazing and exciting. Exploring education trends and insights.,#Education #Python,Education,592,197,62,Positive
POST_215,2026-08-09,10:00:00,AIInsights,Absolutely loved this update! The results are amazing and exciting. Exploring ai trends and insights.,#ArtificialIntelligence #GenerativeAI #AI #MachineLearning,AI,2124,188,668,Positive
POST_248,2026-08-09,10:20:00,AIInsights,This is a fantastic achievement. Really happy with the progress! Exploring entertainment trends and insights.,#Trending #Music #Entertainment,Entertainment,1118,202,478,Positive
POST_098,2026-08-09,10:50:00,TechNeha,Testing a new approach and documenting the results. Exploring ai trends and insights.,#GenerativeAI #MachineLearning #AI #ArtificialIntelligence,AI,1568,285,210,Neutral
POST_163,2026-08-09,12:00:00,MLExplorer,A new feature has been released for users to explore. Exploring ai trends and insights.,#MachineLearning #ArtificialIntelligence #AI,AI,2550,86,311,Neutral
POST_099,2026-08-09,12:30:00,AIInsights,Great insights and an excellent learning experience today. Exploring technology trends and insights.,#Coding #Innovation #Technology #TechNews,Technology,1183,242,286,Positive
POST_096,2026-08-09,13:40:00,PythonDev,This is a fantastic achievement. Really happy with the progress! Exploring ai trends and insights.,#AI #GenerativeAI,AI,2429,266,506,Positive
POST_113,2026-08-09,13:40:00,DataWithAarav,Not happy with the current results. More work is required. Exploring lifestyle trends and insights.,#DailyLife #Motivation #Lifestyle #Productivity,Lifestyle,292,212,480,Negative
POST_109,2026-08-09,20:00:00,PythonDev,Sharing today's update and the latest observations from the project. Exploring technology trends and insights.,#TechNews #Coding #Innovation,Technology,2096,139,356,Neutral
POST_181,2026-08-09,20:00:00,DataWithAarav,So excited to share this wonderful milestone with everyone! Exploring ai trends and insights.,#GenerativeAI #ArtificialIntelligence,AI,312,155,142,Positive
POST_138,2026-08-10,10:50:00,MLExplorer,The experience has been poor so far and several problems remain. Exploring data science trends and insights.,#BigData #Python,Data Science,523,26,129,Negative
POST_050,2026-08-10,12:00:00,CloudCoder,This is a fantastic achievement. Really happy with the progress! Exploring technology trends and insights.,#Innovation #Technology #Coding #TechNews,Technology,836,156,495,Positive
POST_194,2026-08-10,15:50:00,TrendTracker,Great insights and an excellent learning experience today. Exploring business trends and insights.,#Business #Startups,Business,1512,115,51,Positive
POST_146,2026-08-10,16:50:00,TrendTracker,So excited to share this wonderful milestone with everyone! Exploring entertainment trends and insights.,#Entertainment #Music #Movies,Entertainment,2261,160,407,Positive
POST_214,2026-08-10,17:20:00,MLExplorer,Great insights and an excellent learning experience today. Exploring data science trends and insights.,#DataScience #Analytics,Data Science,863,104,13,Positive
POST_017,2026-08-10,18:40:00,AIInsights,This is a fantastic achievement. Really happy with the progress! Exploring entertainment trends and insights.,#Trending #Movies,Entertainment,2025,159,408,Positive
POST_078,2026-08-10,19:20:00,TechNeha,This is a fantastic achievement. Really happy with the progress! Exploring ai trends and insights.,#AI #ArtificialIntelligence #MachineLearning,AI,3054,76,503,Positive
POST_122,2026-08-10,19:40:00,ShreyaAI,Sharing today's update and the latest observations from the project. Exploring ai trends and insights.,#AI #ArtificialIntelligence #GenerativeAI,AI,2194,189,583,Neutral
POST_061,2026-08-10,23:30:00,TrendTracker,This update was disappointing and the results need improvement. Exploring technology trends and insights.,#Coding #Technology,Technology,2332,238,110,Negative
POST_016,2026-08-10,23:40:00,CloudCoder,Testing a new approach and documenting the results. Exploring technology trends and insights.,#TechNews #Coding,Technology,2040,174,367,Neutral
POST_223,2026-08-11,14:50:00,CloudCoder,A new feature has been released for users to explore. Exploring business trends and insights.,#Startups #Business,Business,945,16,219,Neutral
POST_087,2026-08-11,16:20:00,AIInsights,Facing some frustrating issues with the latest release. Exploring education trends and insights.,#CareerGrowth #Education #Learning,Education,1991,191,218,Negative
POST_190,2026-08-11,16:20:00,DataNinja,Great insights and an excellent learning experience today. Exploring business trends and insights.,#Marketing #Entrepreneurship #Business #Startups,Business,122,171,80,Positive
POST_133,2026-08-11,20:00:00,AIInsights,Testing a new approach and documenting the results. Exploring ai trends and insights.,#AI #GenerativeAI,AI,2424,278,742,Neutral
POST_029,2026-08-11,23:40:00,DevVibes,The experience has been poor so far and several problems remain. Exploring lifestyle trends and insights.,#DailyLife #Motivation #Productivity #Lifestyle,Lifestyle,2322,130,0,Negative
POST_074,2026-08-12,08:10:00,AnalyticsGuru,So excited to share this wonderful milestone with everyone! Exploring ai trends and insights.,#GenerativeAI #ArtificialIntelligence #MachineLearning #AI,AI,1423,289,229,Positive
POST_174,2026-08-12,09:40:00,AnalyticsGuru,This is a fantastic achievement. Really happy with the progress! Exploring technology trends and insights.,#TechNews #Innovation #Technology #Coding,Technology,337,67,1,Positive
POST_250,2026-08-12,09:50:00,TechNeha,This update was disappointing and the results need improvement. Exploring data science trends and insights.,#DataScience #BigData,Data Science,1026,50,487,Negative
POST_234,2026-08-12,11:40:00,TechNeha,This update was disappointing and the results need improvement. Exploring entertainment trends and insights.,#Entertainment #Trending,Entertainment,1513,52,128,Negative
POST_173,2026-08-12,12:10:00,AIInsights,Testing a new approach and documenting the results. Exploring education trends and insights.,#Education #Python,Education,1744,305,163,Neutral
POST_141,2026-08-12,14:40:00,CodeWithRiya,Facing some frustrating issues with the latest release. Exploring entertainment trends and insights.,#Music #Movies #Entertainment #Trending,Entertainment,2055,248,180,Negative
POST_012,2026-08-12,15:00:00,DataWithAarav,Great insights and an excellent learning experience today. Exploring data science trends and insights.,#DataScience #Python #Analytics #BigData,Data Science,566,57,205,Positive
POST_245,2026-08-12,16:00:00,CodeWithRiya,A new feature has been released for users to explore. Exploring entertainment trends and insights.,#Entertainment #Movies,Entertainment,630,166,310,Neutral
POST_239,2026-08-12,17:00:00,AnalyticsGuru,This is a fantastic achievement. Really happy with the progress! Exploring technology trends and insights.,#Technology #Coding #Innovation #TechNews,Technology,595,8,370,Positive
POST_027,2026-08-12,17:30:00,TechNeha,So excited to share this wonderful milestone with everyone! Exploring entertainment trends and insights.,#Trending #Movies #Entertainment #Music,Entertainment,464,41,253,Positive
POST_166,2026-08-12,20:20:00,MLExplorer,This is a fantastic achievement. Really happy with the progress! Exploring education trends and insights.,#CareerGrowth #Learning,Education,1319,198,287,Positive
POST_213,2026-08-12,22:00:00,CloudCoder,This update was disappointing and the results need improvement. Exploring data science trends and insights.,#Analytics #Python,Data Science,2189,102,302,Negative
POST_249,2026-08-12,23:50:00,AIInsights,Not happy with the current results. More work is required. Exploring business trends and insights.,#Business #Marketing,Business,808,50,142,Negative
POST_231,2026-08-13,08:50:00,AnalyticsGuru,This is a fantastic achievement. Really happy with the progress! Exploring ai trends and insights.,#ArtificialIntelligence #GenerativeAI #MachineLearning #AI,AI,2355,128,314,Positive
POST_206,2026-08-13,10:30:00,CloudCoder,Sharing today's update and the latest observations from the project. Exploring technology trends and insights.,#Coding #Innovation,Technology,1915,263,414,Neutral
POST_020,2026-08-13,11:00:00,MLExplorer,A new feature has been released for users to explore. Exploring technology trends and insights.,#Innovation #Coding,Technology,2370,226,317,Neutral
POST_117,2026-08-13,11:20:00,TechNeha,This update was disappointing and the results need improvement. Exploring education trends and insights.,#Python #Learning,Education,1048,347,424,Negative
POST_077,2026-08-13,12:20:00,DataNinja,Not happy with the current results. More work is required. Exploring education trends and insights.,#Learning #Python #Education #CareerGrowth,Education,1920,155,48,Negative
POST_075,2026-08-13,13:40:00,PythonDev,So excited to share this wonderful milestone with everyone! Exploring technology trends and insights.,#Coding #Innovation,Technology,2285,239,432,Positive
POST_013,2026-08-13,14:10:00,ShreyaAI,Here are some useful insights from the data analysis. Exploring lifestyle trends and insights.,#Lifestyle #DailyLife #Productivity #Motivation,Lifestyle,2184,232,308,Neutral
POST_076,2026-08-13,14:50:00,PythonDev,So excited to share this wonderful milestone with everyone! Exploring entertainment trends and insights.,#Movies #Music #Trending,Entertainment,330,265,89,Positive
POST_156,2026-08-13,14:50:00,MLExplorer,Sharing today's update and the latest observations from the project. Exploring education trends and insights.,#Education #Learning #Python #CareerGrowth,Education,50,334,0,Neutral
POST_002,2026-08-13,15:30:00,DataNinja,Testing a new approach and documenting the results. Exploring business trends and insights.,#Business #Entrepreneurship #Startups #Marketing,Business,1850,184,6,Neutral
POST_151,2026-08-13,17:40:00,CodeWithRiya,This is a fantastic achievement. Really happy with the progress! Exploring lifestyle trends and insights.,#Lifestyle #Motivation #DailyLife #Productivity,Lifestyle,1227,122,276,Positive
POST_155,2026-08-13,20:00:00,CodeWithRiya,A new feature has been released for users to explore. Exploring entertainment trends and insights.,#Movies #Trending #Entertainment #Music,Entertainment,93,64,148,Neutral
POST_238,2026-08-13,20:00:00,DevVibes,Great insights and an excellent learning experience today. Exploring data science trends and insights.,#Analytics #BigData #Python,Data Science,454,322,330,Positive
POST_216,2026-08-13,20:20:00,ShreyaAI,This is a fantastic achievement. Really happy with the progress! Exploring technology trends and insights.,#TechNews #Coding,Technology,95,91,78,Positive
